author,text,likeCount,publishedAt,Sentiments
@Poppy-l4i,Is it just me or I’m not a swiftie but this song is one of my fav songs,3,2025-11-08T16:11:22Z,neutral
@MelMelfa-z9p,"This era is soo fun , Taylor Swift thank you ❤",3001,2025-10-05T22:26:14Z,positive
@Opheliahhamlet,"“The fate of Ophelia” made me fall in love with my name again 🩵 
Used to hate my name growing up… now it feels like poetry. Thank you, Taylor Swift ✨",439,2025-10-06T02:38:57Z,negative
@noneofyourbussiness921,i saw this today in the movies! it was literally the best ever,514,2025-10-04T05:56:13Z,positive
@123100ozzy,this is a banger im a swftie now,4,2025-11-08T17:03:26Z,neutral
@arty14,Hands down to the best music video of the year. Not gonna be surprised if this gets a grammy. Totally deserving.,3227,2025-10-05T22:54:35Z,positive
@Fearless_swiftie85,"THIS IS HER BEST MUSIC VIDEO EVER, I went and saw it in theaters, and it blew me away… the production is STUNNING…",1311,2025-10-05T00:45:18Z,positive
@Ajgamer11099,So happy we got the acoustic version!,2,2025-11-08T17:26:51Z,positive
@elianalieberman4827,THE FACT THAT SHE IS RELEASING THIS ON TRAVIS’S BIRTHDAY!!,2296,2025-10-05T20:59:44Z,neutral
@leannedonnon1015,"Let’s take a moment to appreciate that SOURDOUGH BREAD — absolute culinary and symbolic brilliance! You could feel how proud she was to bake it herself and feature it in the video. It wasn’t just bread; it was a metaphor for warmth, growth, and artistry. And the video? Utterly transcendent. Visually stunning, emotionally rich — easily my favorite music video of hers, and honestly, maybe of anyone’s. Taylor, radiant and in love, is the version of her that feels most alive. And Travis? Thank you for showing up with grace and strength, matching her energy and being the partner she deserves. This era is everything.",606,2025-10-06T00:06:16Z,positive
@shelbyhyoung,this is genuinely one of the best music videos i’ve ever seen???? obsessed!,1403,2025-10-05T23:25:18Z,positive
@lolmeditando13,lets go for 200million❤,5,2025-11-08T15:42:38Z,neutral
@BadBoy-cb4fv,"THE LOOKS 
THE CHOREOGRAPHY 
THE DANCERS
TAYLOR OFFICILLY MADE HER BEST MUSIC VIDEO EVER OMG",589,2025-10-06T06:37:48Z,positive
@K-Isles1989,"Her referencing all the Showgirls who had tragic endings, I see Marilyn Monroe and it really just made me realize some of these Showgirls were our modern Ophelias, Taylor just had a much better support especially from family 🥺🥺",413,2025-10-05T23:09:52Z,positive
@HesterSteele,Did anyone notice when you pause the video the icon that shows you where you are in the video as far as time is an orange door opened!!!! I swear she is so freaking brilliant!!,570,2025-10-11T15:21:34Z,positive
@fatanehfouroudi1385,"With orange hair in the ship , she is look like the girl play in POLDARK series.🧡",1,2025-11-08T17:24:21Z,neutral
@coolcatjennie26,Thank you Taylor for reminding women and men everywhere to be authentic to themselves and hold out for someone who loves and respects you.,303,2025-10-05T23:33:00Z,positive
@hxathxr,I love how she shows what it means to be a “showgirl” in each era of time. Such genius,1937,2025-10-06T18:37:24Z,positive
@englishgirlforever,That music video made the entire cinema speechless. Taylor dropped a masterpiece ❤️‍🔥,915,2025-10-04T18:51:10Z,neutral
@Tuckrzrrider,I love all the patterns on the railings,2,2025-11-08T17:13:02Z,positive
@BriForReal93,This is ‘THE’ anthem for any of us who FINALLY found ‘their person’ after the nonsense before hand ❤ what a love story.,647,2025-10-06T05:30:15Z,positive
@thepolishlatina,I love how the dancers from the Eras tour are here. ❤ She protects the family,763,2025-10-06T06:07:14Z,positive
@LolesPG,"Dear TAYLOR SWIFT, please never stop creating songs as amazing as this one.",485,2025-10-05T23:48:03Z,positive
@Aadyapotterhead4ever11,Imagine hearing this again 10 years later 😭❤,10,2025-11-08T02:34:42Z,neutral
@ktcnfld,"I think the mere fact that she used all of her Eras tour back up dancers for her video shows that my girl is loyal, and everybody that ever worked for her has nothing but positive things to say, and they usually stay working with her for years and years.I loved recognizing so many of the dancers. They’re all so talented and beautiful.",281,2025-10-06T19:18:04Z,positive
@arn_otarie,"I saw it in theater and honestly, it deserves all the awards for best music video next season.... i'm speechless ❤️‍🔥",970,2025-10-04T13:00:03Z,positive
@carlosjperez739,"Honestly this has got to be my favorite Taylor swift video, it is so well referenced and directed; love the transitions and both the references to the Ophelia painting, ending with her own version with eyes wide open. This is a win.",985,2025-10-06T13:07:20Z,positive
@veronicaisi6151,It’s just perfect. Every second feels like pure magic. Taylor created a masterpiece.❤️‍🔥❤️‍🔥❤️‍🔥,3,2025-11-08T15:32:42Z,positive
@KirKaizen,That last scene is so iconic!,162,2025-10-06T04:57:01Z,positive
@melaniepenelope_,I'm so happy she's happy and returning to her roots with fairytale themes <3333333 The looks in this video are freakin dynamite!,904,2025-10-12T03:29:03Z,positive
@nicoleprata3167,"Seeing her now, so carefree, happy, and finally at peace with her body after everything she went through during the 1989 World Tour, almost brings me to tears. Looking back at those photos and videos, I realize only now the struggle she was facing and how cruel social media was from calling her 'too skinny, like a stick' to 'she’s let herself go, she’s put on weight. It just proves that no matter how much you change, people will always find a way to judge and tear you down. That’s why it’s up to you to ignore them and start loving yourself in the way that feels right for you",351,2025-10-05T23:25:23Z,positive
@yukilufpink,Addictive. Still is. Will forever be,7,2025-11-08T10:21:44Z,neutral
@gmarnic16,"I love how when Taylor became more involved in directing and producing her work, her visuals became more and more creative. Her creativity in music and lyrics transcended into her visuals and i love it! Its so playful and artsy",589,2025-10-07T12:59:01Z,positive
@andy07.r,THIS SONG WILL EXPLODE THE ENTIRE YOUTUBE 😆😆,2312,2025-10-05T22:28:54Z,neutral
@Layla-jn7bq,IVE LITERALLY JUST NOTICED THE OSCAR ON THE FLOOR NEXT TO THE BATHTUB AT THE END…. her eye  for detail is out of this world I swearrrr ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,241,2025-10-06T01:03:05Z,neutral
@JustDanceBeyblade,One of my favorites!! ❤❤❤,3,2025-11-08T16:20:54Z,neutral
@cheekyramen,"As someone who was a teenage fan when she released Love Story, and now as an adult hearing The Fate of Ophelia, it healed something in me",361,2025-10-06T00:01:36Z,positive
@EmoryS-g7m,"“If you never found me, I might’ve drowned in the melancholy” WHAT A LINE!!!!! Ms. Swift, you never fail to amaze me",383,2025-10-05T23:34:47Z,negative
@wailinglikeanimbecile,"i saw in the cinema, and yall, it was JAW DROPPING AND AMAZING as always!! i love this era and this album so much",500,2025-10-05T18:15:23Z,positive
@veronicaisi6151,"Which era is your favorite?! 💖 Honestly, it’s basically impossible — every single one is iconic and perfect in its own way!!🧡🧡🧡",3,2025-11-08T15:58:59Z,positive
@Suki-s4c,"I’m not a swiftie but I cannot help rooting for this lady. She is just so talented, kind, real and absolutely stunning. She is one of the best role model for younger generations. I’m so happy my daughter has her to look up to.",205,2025-10-10T22:12:38Z,positive
@Nymphinia99,Whichever staff member originally recommended the idea of putting this in theaters deserves a bonus cause experiencing this in theaters was absolutely amazing. Shout out to them and the entire team that worked on this cause the work is amazing :),708,2025-10-05T23:00:40Z,positive
@cheddarandsourcream,As a guy who’s never been a big Taylor Swift fan I can say this song is an undeniable bop and the best song I’ve personally heard from her.,530,2025-10-26T18:13:32Z,positive
@Kenducks,Taylor Swift is the music industry,3,2025-11-08T17:43:32Z,neutral
@celinekasim,This might be one of her best mvs hands down,309,2025-10-06T04:32:33Z,positive
@RedbitRedbitGoldx,"It doesn't matter! Whether you're happy, sad, or depressed... Taylor Swift... always has a video or song for you.",830,2025-10-06T16:50:23Z,positive
@AnaLuisa-xi3lm,"omg, the Last part when she dances with her band so ""we are never getting back together"" coded",597,2025-10-06T11:20:07Z,neutral
@lesleyk3793,can we have a moment for the choreography?! the dancers never heard the song they’re dancing to and every movement matches every beat. that’s incredible ❤,217,2025-10-06T00:20:38Z,positive
@veronicaisi6151,"It’s so perfect. I’m addicted to it. The visuals, the lyrics, the emotion — everything is pure magic. Taylor outdid herself once again. I can’t stop watching and listening, it’s truly a masterpiece.❤️‍🔥❤️‍🔥❤️‍🔥",2,2025-11-08T15:29:13Z,positive
@carasmerita,"The nod to ""we r never getting back together"". The reputation outfit ""dressed"" up;  This song showcases all of her ""eras"" as a showgirl. Also our Taylor is full of colour again!!!! U can FEEL how happy she is",774,2025-10-05T23:51:29Z,positive
@ARS850H,I can see why she has such a huge following. This song made me feel like i was crusing on the highway with the windows down while the sun is setting behind me,490,2025-10-08T23:43:31Z,negative
@HorseThing6767,"The MV, the dancing, the looks, the choreography... everything is PERFECT! Taylor Swift never disappoints",254,2025-10-05T23:13:30Z,positive
@bgtsfreds,This song just brings happiness!,3,2025-11-08T17:56:35Z,positive
@yara5502,"Perfect MV!!!!! My sister is a dancer and said it is genius because it alludes to a very specific gogo style 70´s era of dancing. The video takes you through eras of performing. From the OG visual art, to shakespearean live theater, vegas showgirl, 30´s showgirl and nautical choreo.",283,2025-10-05T23:12:12Z,positive
@taybrinafan13,Dare I say this is her best MV?!!❤️‍🔥❤️‍🔥,344,2025-10-05T22:01:27Z,positive
@NewLans14,"It's giving ""We Are Never Getting Back Together"" mv, 
you know like the scenes changing continuously and it all feels like it's in one take, and i absolutely love it!!!",440,2025-10-05T23:09:22Z,positive
@Caligirl56,I am OBSESSED with this song!!! FABULOUS production💜💜💜,10,2025-11-07T19:28:15Z,negative
@camposjohnmichael6640,The way she maximized the Eras Tour dancers in this MV is so lovely to watch 🥹😍,109,2025-10-06T00:04:56Z,positive
@TheOgreMan,I think people are finally coming around to the album after all that discourse on Friday.  This album is grower and gets better with each listen,91,2025-10-06T01:02:15Z,positive
@lazer4089,DARE I SAY MUSIC VIDEO OF THE YEAR (Saw it in the cinema and my jaw DROPPED),1707,2025-10-05T21:47:58Z,neutral
@gods_angel.__x,103M views lets go 200M ❤🎉,7,2025-11-07T09:40:07Z,neutral
@astrum4373,Seeing how she went from The Prophecy to The Fate of Ophelia is extremely beautiful <3 I love how she's so happy now.,123,2025-10-05T23:15:07Z,positive
@alaminkf1989,A masterpiece like this shouldn’t end 😭,456,2025-10-06T04:11:10Z,neutral
@sherrih6375,"Taylor Swift is that rare beauty that can be stunning in every outfit, every hair style and hair color. This is brilliant and I am 65 years old, certainly not her target audience, but I am so impressed with her anthem here. ❤",486,2025-10-06T08:15:48Z,positive
@veronicaisi6151,106 Million views ❤️‍🔥❤️‍🔥❤️‍🔥,3,2025-11-08T15:27:30Z,neutral
@nowthisisloneka1408,"If this music video doesn’t win music video of the year?????? ILL COME FOR THEM, ILL START A RIOT",476,2025-10-03T21:32:28Z,negative
@bruna-oc1nw,"This music video is so well produced,  can't wait to see what she will do with Sabrina!!",492,2025-10-05T22:26:33Z,neutral
@ChriselgineMinas,This music takes over Asia for real ❤,4,2025-11-08T16:40:03Z,positive
@Lady_Nebula,The picture of Travis on the mirror at the beginning is seriously adorable,224,2025-10-06T04:22:22Z,positive
@andiedreamer,"as a swiftie who's been here since fearless era and pretty much has absolutely ADORE all of her visual concepts and MVs for each album and era, I can't help but to feel still that this is the best music video she's ever done, especially considering she's been directing them and writting them herself, I am just in absolute awe! Also, the fact that this video perfectly has that contrast between the classic and modern themes that the songs and lyricism in the album use so much too is just PERFECT, I love it and I love you so much Taylor!",354,2025-10-06T00:19:50Z,positive
@thusphongpatcharapiriyacho3432,Can’t deny this MV is flawless,208,2025-10-06T02:09:21Z,positive
@Newchapter-1902,Trying not to be Taylor's fan is impossible in a million years❤❤❤❤❤❤❤,8,2025-11-07T20:21:02Z,negative
@Lundynpwsly,The wigs are EVERYTHING!! Taylor with long red hair was something I never knew I needed!!😭😭🙌,219,2025-10-06T01:54:15Z,negative
@keithmcnamee1129,And this is how you do a music video 🔥,260,2025-10-06T11:10:21Z,neutral
@emillylopezjara6559,THE best music video she has ever ever done. Masterpiece!,396,2025-10-06T02:43:50Z,positive
@NOONE-pk4dm,Not a fan but her visuals is insanee she’s so beautiful,6,2025-11-08T06:41:41Z,positive
@EphraimDaoust,"She's an icon, she's a legend, she is the moment, like......it's Taylor Swift!",197,2025-10-03T21:14:24Z,neutral
@giselmaria8312,"I saw Raye, I saw Chapelle, I saw Florence, I saw Sabrina and a hint of Christina with the voice of Taylor.",134,2025-10-06T00:24:29Z,neutral
@vleek07,So wild that all of the dancers only heard the click track while rehearsing and filming so that the song could remain private. 🧡,151,2025-10-06T00:30:40Z,positive
@AGbuteraofficial,"I don’t listen to Taylor, but I really like this one. It’s been stuck in my head",5,2025-11-08T04:45:22Z,positive
@carldeshazer7946,"I've enjoyed her since she was into country music and now this. She is just so talented, I'm hooked, I'm proud to call myself a 74-year-old Swifty Fan. My wife loves her too.",933,2025-10-06T01:46:14Z,positive
@Thyna85,"already saw this in cinema, and dangggggg i can’t wait till it’s out
edit: guys we’re so close to 767 likes!😂",813,2025-10-05T22:26:20Z,neutral
@Mr.PerfectlySwift,"“Keep it 100 on the land, the sea, the sky, pledge allegiance to your hands, your team, your vibes” one of the best melodies of Taylor career and this video is a masterpiece❤️‍🔥",854,2025-10-05T23:00:28Z,positive
@opheliamaestro,I love Taylor ✨️,3,2025-11-08T15:57:06Z,positive
@chrispix61,"I'm a hard rock drummer, I caught part of this in an Instagram snippet posted, and I had to go searching for this song, it is one of the catchiest things I've ever heard",353,2025-10-10T09:41:13Z,negative
@vil8604,"from painting to popstar, she did a homage for every showgirl's journey.",783,2025-10-06T13:53:24Z,neutral
@noorahnn376,She literally looks like a renaissance painting!!,560,2025-10-06T04:19:04Z,neutral
@veronicaisi6151,Taylor. Wow. Every hairstyle and hair color looks absolutely amazing on you! 😍✨💖,2,2025-11-08T15:57:07Z,positive
@mfl3765,So much symbolism in this video of how she's been treated through the years in her professional life and how she's come through the other side. Love this song,295,2025-10-14T03:40:07Z,positive
@immarussian2722,Saw it in theaters and I think it might be her best music video yet 🥹,467,2025-10-05T15:38:33Z,positive
@ethanchadwick1104,Jason and Travis brought me here. It’s taken 12 albums to be here. The melodies and beats to this album are so catchy. Hope it’s not to late to join the fandom,368,2025-10-07T19:58:25Z,negative
@JaFranek,Max Martin you still got this!!!,3,2025-11-08T15:44:00Z,neutral
@VictorrSantoss-u2u,"I'm not a fan of Taylor Swift, but this song stuck in my head, I listen to it almost every day",672,2025-11-01T16:18:20Z,neutral
@EditedByEyekons,Its been only 8 days... IM ALREADY SO OBSESSED WITH THIS SONG.,534,2025-10-14T12:14:10Z,negative
@rosesnwines-q8d,THAT LITTLE ORANGE DOOR ON YOUTUBE'S VIDEO DURATION BAR !!!! 🧡🧡😭😭,240,2025-10-06T06:27:03Z,negative
@patty5676,This is absolutely fantastic,7,2025-11-07T19:21:50Z,positive
@sebastiancaro1618,I just know Taylor was soo proud of herself for catching that football 🏈 you already know she wanted that part in there soo bad and probably rehearsed so much for it 🙌🏼 she’s literally awesome the definition of legendary.,190,2025-10-06T03:08:30Z,positive
@RC-ol7qh,"Am no Taylor Swift fan but honestly this girl works for her money.
I love this tune - well thought out lyrics. Loving it all the way from England. 🔥🔥👏🏾👏🏾",309,2025-10-21T19:29:55Z,positive
@MelissaBibza,The video makes the song so much better,261,2025-10-06T21:28:42Z,positive
@cara_tiernan11,Just watched it in the cinema oh my goodness one of her best music videos ever made!!❤️‍🔥❤️‍🔥,469,2025-10-03T21:05:39Z,positive
@1568-n3o,"Believe me this is masterpiece..
Wake me up when it hits billions..",195,2025-10-06T03:08:53Z,neutral
@chocolategiraffe,This song got 31 million streams in its first DAY on Spotify. Taylor is literally on another level,124,2025-10-06T00:29:51Z,positive
@MR-df6fe,"Dang it. Welp gotta admit this song is catchy. After a decade of not being a fan, here I am lmao.",9,2025-11-07T16:44:27Z,positive
@Netanell,"It doesn’t matter if you’re a fan of Taylor Swift or not, this song is a masterpiece.",721,2025-11-06T15:08:21Z,neutral
@MissRepas24,"Anyone noticed in the first hotel scenario, the painting on the top of the stairs, behind the chandeleer, is of her and max martin and shellback?",166,2025-10-06T07:39:19Z,positive
@Noorove,The storytelling feels like watching a painting come alive… only Taylor can do this ❤🔥,293,2025-10-06T05:14:09Z,neutral
@terrancemorrisey7723,I love my ol school hip hop but this jam here has become. One of my top 10's to listen to.....congratulations Taylor and Travis on the engagement 💍 😊,10,2025-11-07T18:38:15Z,positive
@kirschestrahl7734,✨ I love how she transitions through different time periods—different Ophelias across eras. It feels like she’s a time traveler weaving through history. Pure magic <3 ✨,308,2025-10-06T00:43:56Z,positive
@annamariamott3080,"I’m not a Taylor swift fan, I don’t like most of her songs, but for the first time I’ve loved a song by her, this song is so catchy and genius!!",178,2025-10-06T19:56:03Z,positive
@LastMinuteSuggestions101,The foot ball catch Easter egg was so cyuuute,411,2025-10-06T01:48:08Z,neutral
@vanilla_ckookies_are_so_sweet,"She's all - Red Rose
 					- Snow White
					- Opelia
					- Cinderella",6,2025-11-07T03:07:16Z,positive
@mistyashcraft2149,Did anyone else notice that the thing that tells you where you are in the video is an orange door? 😊,275,2025-10-06T22:18:20Z,neutral
@thisismeandmystory,"Non Swiftie here (don't come for me). This is by far one of the best videos and songs I've heard in some time. It gives the artistry of Bowie, Gaga, Gwen Stefani, and Elizabeth Taylor but in one video.   Kudos to one of the smartest business women who happens to sing and have an excellent creative mind.",306,2025-10-06T00:15:53Z,positive
@ZJoshuaZBarberZ,"""Drowning In Melancholy"" simple but impactful lyric. 🧡",91,2025-10-05T23:10:45Z,positive
@TrendDropOfficial,"The most PERFECK 😍 BEAUTIFUL and natural PERSON I ever seen. Her vibes, her eyes SMILE😍🌈",4,2025-11-08T03:15:49Z,positive
@szymonnietubyc11,"Everyone keeps writing about great scenery and performances but lets be honest, the melody is the main reason this song is so catchy and has so many views",211,2025-10-20T20:37:35Z,positive
@magriborius.9881,"What an impressive music video. Spectacular script, staging, choreography, and costumes. Not to mention the rhythm, lighting, and how well it adapts to the music. A level of quality rarely seen.",225,2025-10-17T14:18:31Z,positive
@alecsgerswincarillo5848,"ATTENDANCE CHECK, SWIFTIES ❤❤",2,2025-11-08T18:04:26Z,neutral
@dylandaiya,did she put something addictive in this song? I can't stop listening ,217,2025-10-06T02:13:15Z,neutral
@laurenbates491,2:56 love the detail of the chalkboard behind her being the first letter of the words of each track with its corresponding number,219,2025-10-05T23:14:31Z,positive
@__stalloneyaunce,"Keep it one hundred on the land (land), the sea (sea), the sky
Pledge allegiance to your hands, your team, your vibes 🩰💃🏿🕺🏿🪭❤️‍🔥 (this part hits me) 🧡",139,2025-10-06T01:37:12Z,neutral
@mahnooorzahra,"let us make it hit streams upto 200M this month!!!! cuz this deserves as it associates with art of ophelia's story, better than clueless songs nowadays.",6,2025-11-07T15:25:49Z,positive
@LaserBadler,I don’t own a single Taylor Swift album and I just wandered in here out of curiosity but this song is so beautiful and melancholic and uplifting…….,236,2025-10-08T20:50:19Z,positive
@ml7031,This video is incredible and really shows how much Taylor has been developing her directing skills. Deserves the Grammy without a doubt,278,2025-10-05T23:01:19Z,positive
@CedragonMusic,2:54 you can see the album track initials on the wall 😱,223,2025-10-05T23:13:47Z,neutral
@urvidedhia8628,THIS IS LIKE THE BEST FUSION OF ALL HER MUSIC VIDEOS SO FAR IM IN LOVE,112,2025-10-06T04:02:51Z,positive
@tiffyp2192,Her being with all of her eras tour back up dancers making me emotional,279,2025-10-06T06:57:27Z,neutral
@DarilynnVanhell,"The outfits ❤️‍🔥
The sets ❤️‍🔥
The music❤️‍🔥
Taylor ❤️‍🔥❤️‍🔥❤️‍🔥",190,2025-10-06T02:42:11Z,neutral
@ivanhoe1chlupik799,Amazing song and amazing women.,5,2025-11-07T20:29:26Z,positive
@MillyMaxgen,I JUST SAW IT AT THE RELEASE PARTY AND I CAN PROMISE TO YOU ALL ITS PERFECTION,129,2025-10-03T21:11:27Z,neutral
@wallszymusic,Taylor looks better than ever. Travis is the luckiest man on the planet.,190,2025-10-06T13:12:17Z,positive
@kathrynclayton9239,I’m 51. She finally got me. This is brilliant.,834,2025-10-23T22:42:55Z,positive
@wongyiuyu9284,I can watch all Taylor Swift music videos for the whole day because all are so beautiful and fond of TS😍😍😍😍😍❤️❤️❤️❤️❤️,1,2025-11-08T17:27:16Z,positive
